,x,y,label,publication_year,story_code,author_code
0,0.036235527949031274,0.4971530655303432,1,1908,CME01,BO
1,-0.06342403391142501,-0.36989389425534824,2,1905,TEV07,RB
2,-0.19404971996296683,0.19297792356534338,5,1914,CKS40,ABR
3,-0.27245362855052013,0.45914377685135865,3,1905,PVDS40,JF
4,0.3778032679346739,0.21619444486902548,4,1900,ATT01,JEPM
5,0.45440414702043114,0.14943411543765986,6,1905,LMSY01,BO
6,-0.2657810378889821,0.40092420540659673,3,1907,PVDS35,JF
7,-0.042484259834540856,-0.22487080307133844,2,1893,MSH05,ACD
8,-0.5302859848625878,0.2301482357142941,3,1907,PVDS17,JF
9,-0.2873789703515854,0.4956946415964176,3,1907,PVDS32,JF
10,0.20911371388312525,0.287175263281238,4,1905,TGS05,AKG
11,0.09663106257901244,-0.5653492644274022,2,1905,TSOTR01,VW
12,-0.04995885934488637,0.5731517760756298,5,1915,CKS59,ABR
13,0.23093097288805814,-0.3941323176881538,2,1917,HLB08,ACD
14,-0.28698265099142867,0.5335244441054441,0,1905,UAMM08,MDP
15,0.2434491222907294,0.44514711382971495,4,1916,CKS67,ABR
16,-0.10996554529007428,-0.5961101152376217,2,1905,TSOTR06,VW
17,-0.09107561703279446,0.2669427192728749,5,1914,CKS41,ABR
18,-0.31512500562002643,-0.36202902111867913,0,1913,MC01,EB
19,-0.24347694923343066,-0.34528888096392785,2,1894,MHI07,AM
20,-0.3666700935489902,-0.01987757910320152,5,1911,CKS03,ABR
21,-0.2792682045997101,0.36014143967597906,3,1906,PVDS04,JF
22,-0.31721256370964734,-0.02285796687736932,5,1915,CKS58,ABR
23,-0.3361228028314258,-0.12497869631557018,5,1915,CKS62,ABR
24,0.19755882889409357,0.17937080534501096,4,1896,AMH05,AM
25,-0.055151458749645214,0.040664858983029455,1,1905,TGS08,AKG
26,0.16765430231602393,0.143535395079807,4,1913,MC07,EB
27,0.18349449431160939,-0.37994153646477175,2,1893,MSH08,ACD
28,0.5666001917892135,0.08580754386946624,6,1905,LMSY07,BO
29,0.4635506181506096,0.1666379324723761,6,1905,LMSY04,BO
30,-0.3038519342006304,0.40621478032157887,3,1912,PVDS38,JF
31,0.05858333601058349,0.39427058254247477,4,1914,CKS42,ABR
32,-0.11966629133820268,-0.1522547287659371,2,1905,JTC07,AF
33,0.40738849928707366,-0.4314477241026962,5,1913,CKS27,ABR
34,0.1917413279237178,-0.4802634966164756,2,1908,OMIC08,BO
35,-0.4725311935877888,0.3349602982498028,3,1907,PVDS21,JF
36,0.10192613490081547,0.00805124639292248,1,1892,ASH08,ACD
37,0.31204678120656615,0.24184328180469897,4,1908,OMIC07,BO
38,0.21632929792762948,0.10475529491639314,4,1913,MC04,EB
39,-0.12488890114220809,-0.3315925946763737,2,1894,MHI02,AM
40,-0.05272374688480025,0.319360820368336,5,1911,CKS06,ABR
41,-0.13291252037198542,0.1430450697679592,1,1910,CKS01,ABR
42,-0.5372671234483637,-0.07583061704198378,5,1911,CKS13,ABR
43,-0.46377938069362407,0.13117022805331527,3,1906,PVDS09,JF
44,-0.3329176117641439,0.4292550805056642,3,1906,PVDS03,JF
45,-0.14188214604058738,0.06589438296525153,5,1914,CKS43,ABR
46,0.280695452234569,-0.09986276294100997,2,1891,ASH03,ACD
47,0.47097000833975994,-0.09702508579059448,2,1905,ADP04,AKG
48,0.312041125706996,-0.18175677193197343,2,1926,CBSH12,ACD
49,-0.11646529100912499,-0.22658749722930147,2,1905,TSB02,AF
50,-0.3705931662157762,-0.17844405399779245,2,1905,JTC08,AF
51,0.3067918085473333,0.017562611379581018,2,1905,IZ02,IZ
52,-0.33996060782477683,0.18757866947177515,1,1907,PVDS33,JF
53,-0.09213520134149918,0.2846664250234359,5,1914,CKS45,ABR
54,-0.5092373871476172,-0.25791481898147917,0,1905,UAMM09,MDP
55,-0.639465536388116,0.09591776248810033,3,1907,PVDS16,JF
56,-0.05848048087478518,-0.6270399964011911,2,1905,TSOTR08,VW
57,-0.2432525403469634,-0.2626352129851067,2,1895,CMH04,AM
58,0.02112495467229065,0.351870915774563,5,1914,CKS44,ABR
