story_code,story_name,author_code,publication_year,score,Evoked,Illegible and never usable (illegible → never usable),Ex post -- newly usable,Legible but not usable (legible → not usable),Usable in real time (usable → usable),Usable only in retrospect (legible → usable),Red herring (usable → legible),Ex post -- new clue (not mentioned → usable),Ex post -- newly usable clue (illegible → usable),NA,Illegible
MSH01,Silver Blaze,ACD,1892,4,0,0,0,1,1,1,0,1,1,0,0
MSH02,The Yellow Face,ACD,1893,2,0,0,0,1,0,1,1,1,0,0,0
MSH03,The Stock-Broker's Clerk,ACD,1893,2,0,0,0,1,1,1,0,1,0,0,0
ASH10,The Adventure of the Noble Bachelor,ACD,1892,4,0,0,0,1,1,1,0,1,0,0,0
ASH11,The Adventure of the Beryl Coronet,ACD,1892,4,0,0,0,1,1,0,1,1,0,0,1
ASH12,The Adventure of the Copper Beeches,ACD,1892,5,0,0,0,1,1,1,0,0,0,0,0
ASH07,The Adventure of the Blue Carbuncle,ACD,1892,5,0,0,0,1,1,1,0,1,1,0,0
ASH08,The Adventure of the Speckled Band,ACD,1892,5,0,0,0,0,1,1,0,1,1,0,1
ASH09,The Adventure of the Engineer's Thumb,ACD,1892,2,0,0,0,1,1,1,0,1,1,0,1
ASH02,The Red-Headed League,ACD,1891,4,0,1,0,0,1,1,0,1,0,0,0
MSH10,The Naval Treaty,ACD,1893,3,0,0,0,1,1,1,1,1,0,0,0
MSH11,The Final Problem,ACD,1893,1,0,1,0,1,1,1,0,0,0,0,0
RSH01,The Adventure of the Empty House,ACD,1903,2,0,0,0,1,1,1,0,1,0,0,0
ASH04,The Boscombe Valley Mystery,ACD,1891,4,0,0,0,0,1,1,0,1,1,0,0
MSH07,The Crooked Man,ACD,1893,2,0,0,0,0,1,1,0,1,0,0,0
MSH08,The Resident Patient,ACD,1893,3,0,0,0,0,1,1,0,0,1,0,0
MSH09,The Greek Interpreter,ACD,1893,2,0,0,0,1,1,0,0,0,0,0,0
MSH04,The “Gloria Scott”,ACD,1893,2,0,0,0,1,1,1,0,1,1,0,0
MSH06,The Reigate Puzzle,ACD,1893,5,0,0,0,1,1,1,1,1,1,0,0
MSH05,The Musgrave Ritual,ACD,1893,4,0,0,0,1,1,1,0,1,1,0,0
ASH03,A Case of Identity,ACD,1891,4,0,0,0,1,1,1,0,0,1,0,0
RSH08,The Six Napoleons,ACD,1904,4,0,0,0,0,1,1,0,1,1,0,0
RSH09,The Three Students,ACD,1904,3,0,0,0,0,1,1,1,1,0,0,0
RSH10,The Golden Pince-Nez,ACD,1904,3,0,0,0,0,1,1,0,1,0,0,0
RSH02,The Norwood Builder,ACD,1903,4,0,0,0,0,1,1,0,1,1,0,0
RSH03,The Dancing Men,ACD,1903,2,0,0,0,0,1,1,0,0,1,0,0
RSH04,The Solitary Cyclist,ACD,1903,2,0,0,0,1,1,1,0,1,0,0,0
RSH05,The Priory School,ACD,1904,3,0,0,0,1,1,1,0,1,0,0,0
RSH06,Black Peter,ACD,1904,3,0,0,0,1,1,1,0,1,1,0,0
RSH07,Charles Augustus Milverton,ACD,1904,4,0,0,0,1,1,0,0,0,0,0,0
HLB01,Wisteria Lodge,ACD,1908,2,0,0,0,1,1,1,0,1,1,0,0
HLB02,The Cardboard Box,ACD,1893,3,0,0,0,0,1,1,0,1,1,0,0
HLB03,The Red Circle,ACD,1911,1,0,0,0,1,1,0,0,1,1,0,0
HLB04,The Bruce-Partington Plans,ACD,1908,3,0,0,0,1,1,1,0,1,1,0,0
HLB05,The Dying Detective,ACD,1913,3,0,0,0,1,1,1,0,0,1,0,0
HLB06,Lady Frances Carfax,ACD,1911,3,0,0,0,1,1,0,0,0,1,0,0
RSH11,The Adventure of the Missing Three-Quarter,ACD,1904,3,1,0,0,0,1,1,1,0,1,0,0
RSH12,The Adventure of the Abbey Grange,ACD,1904,5,0,0,0,1,1,1,1,0,0,0,0
RSH13,The Adventure of the Second Stain,ACD,1904,4,0,0,0,0,1,1,0,0,0,0,0
CBSH05,The Sussex Vampire,ACD,1924,4,0,0,0,0,1,1,0,1,1,0,0
CBSH06,The Three Garridebs,ACD,1924,3,0,0,0,1,1,1,0,1,1,0,0
CBSH05,The Thor Bridge,ACD,1924,4,0,0,0,1,1,1,0,0,1,0,0
HLB07,The Devil's Foot,ACD,1910,5,0,0,0,1,1,1,1,1,1,0,0
HLB08,His Last Bow,ACD,1917,2,0,0,0,0,0,0,0,1,0,0,0
CBSH01,The Illustrious Client,ACD,1924,2,0,0,0,1,1,0,0,0,0,0,0
CBSH02,The Blanched Soldier,ACD,1926,5,0,0,0,0,1,1,0,1,0,0,0
CBSH03,The Mazarin Stone,ACD,1921,2,0,0,0,0,1,0,0,0,0,0,0
