Story Code,Story Title,Author Code,Second Author Code,Annotator #1,Annotator #2,Story URL,Date Assigned (YYYY-MM-DD),Date Completed (YYYY-MM-DD),Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book
ASH01,A Scandal in Bohemia,ACD,NA,ZC,CC,https://sherlock-holm.es/stories/html/scan.html,2021-05-25T00:00:00Z,2021-05-26T00:00:00Z,1891-07-01T00:00:00Z,Journal,The Strand
ASH02,The Red-Headed League,ACD,NA,ZC,CC,https://sherlock-holm.es/stories/html/redh.html,2021-05-10T00:00:00Z,2021-05-12T00:00:00Z,1891-08-01T00:00:00Z,Journal,The Strand
ASH03,A Case of Identity,ACD,NA,SK,JM,https://sherlock-holm.es/stories/html/iden.html,2021-05-11T00:00:00Z,2021-05-13T00:00:00Z,1891-09-01T00:00:00Z,Journal,The Strand
ASH04,The Boscombe Valley Mystery,ACD,NA,SO,WW,https://sherlock-holm.es/stories/html/bosc.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1891-10-01T00:00:00Z,Journal,The Strand
ASH05,The Five Orange Pips,ACD,NA,ZC,CC,https://sherlock-holm.es/stories/html/five.html,2021-05-25T00:00:00Z,2021-05-26T00:00:00Z,1891-11-01T00:00:00Z,Journal,The Strand
ASH06,The Man with the Twisted Lip,ACD,NA,SO,SK,https://sherlock-holm.es/stories/html/twis.html,2021-05-25T00:00:00Z,2021-05-26T00:00:00Z,1891-12-01T00:00:00Z,Journal,The Strand
ASH07,The Adventure of the Blue Carbuncle,ACD,NA,ZC,CC,https://sherlock-holm.es/stories/html/blue.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1892-01-01T00:00:00Z,Journal,The Strand
ASH08,The Adventure of the Speckled Band,ACD,NA,ZC,CC,https://sherlock-holm.es/stories/html/spec.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1892-02-01T00:00:00Z,Journal,The Strand
ASH09,The Adventure of the Engineer's Thumb,ACD,NA,ZC,CC,https://sherlock-holm.es/stories/html/engr.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1892-03-01T00:00:00Z,Journal,The Strand
ASH10,The Adventure of the Noble Bachelor,ACD,NA,SK,JM,https://sherlock-holm.es/stories/html/nobl.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1892-04-01T00:00:00Z,Journal,The Strand
ASH11,The Adventure of the Beryl Coronet,ACD,NA,SK,JM,https://sherlock-holm.es/stories/html/bery.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1892-05-01T00:00:00Z,Journal,The Strand
ASH12,The Adventure of the Copper Beeches,ACD,NA,SK,JM,https://sherlock-holm.es/stories/html/copp.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1892-06-01T00:00:00Z,Journal,The Strand
MSH01,Silver Blaze,ACD,NA,SO,WW,https://sherlock-holm.es/stories/html/silv.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1892-12-01T00:00:00Z,Journal,The Strand
MSH02,Yellow Face,ACD,NA,SO,WW,https://sherlock-holm.es/stories/html/yell.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1893-02-01T00:00:00Z,Journal,The Strand
MSH03,The Stockbroker's Clerk,ACD,NA,SO,WW,https://sherlock-holm.es/stories/html/stoc.html,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,1893-03-01T00:00:00Z,Journal,The Strand
MSH04,The “Gloria Scott”,ACD,NA,ZC,JM,https://sherlock-holm.es/stories/html/glor.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1893-04-01T00:00:00Z,Journal,The Strand
MSH05,The Musgrave Ritual,ACD,NA,ZC,JM,https://sherlock-holm.es/stories/html/musg.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1893-05-01T00:00:00Z,Journal,The Strand
MSH06,The Reigate Puzzle,ACD,NA,ZC,JM,https://sherlock-holm.es/stories/html/reig.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1893-06-01T00:00:00Z,Journal,The Strand
MSH07,The Crooked Man,ACD,NA,SK,WW,https://sherlock-holm.es/stories/html/croo.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1893-07-01T00:00:00Z,Journal,The Strand
MSH08,The Resident Patient,ACD,NA,SK,WW,https://sherlock-holm.es/stories/html/resi.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1893-08-01T00:00:00Z,Journal,The Strand
MSH09,The Greek Interpreter,ACD,NA,SK,WW,https://sherlock-holm.es/stories/html/gree.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1893-09-01T00:00:00Z,Journal,The Strand
MSH10,The Naval Treaty,ACD,NA,SO,CC,https://sherlock-holm.es/stories/html/nava.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1893-11-01T00:00:00Z,Journal,The Strand
MSH11,The Final Problem,ACD,NA,SO,CC,https://sherlock-holm.es/stories/html/fina.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1893-12-01T00:00:00Z,Journal,The Strand
RSH01,The Empty House,ACD,NA,SO,CC,https://sherlock-holm.es/stories/html/empt.html,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,1903-09-26T00:00:00Z,Journal,Collier's Weekly
RSH02,The Norwood Builder,ACD,NA,ZC,WW,https://sherlock-holm.es/stories/html/norw.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1903-11-01T00:00:00Z,Journal,The Strand
RSH03,The Dancing Men,ACD,NA,ZC,WW,https://sherlock-holm.es/stories/html/danc.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1903-12-01T00:00:00Z,Journal,The Strand
RSH04,The Solitary Cyclist,ACD,NA,ZC,WW,https://sherlock-holm.es/stories/html/soli.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1903-12-26T00:00:00Z,Journal,Collier's Weekly
RSH05,The Priory School,ACD,NA,SK,CC,https://sherlock-holm.es/stories/html/prio.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1904-01-30T00:00:00Z,Journal,Collier's Weekly
RSH06,Black Peter,ACD,NA,SK,CC,https://sherlock-holm.es/stories/html/blac.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1904-02-27T00:00:00Z,Journal,Collier's Weekly
RSH07,Charles Augustus Milverton,ACD,NA,SK,CC,https://sherlock-holm.es/stories/html/chas.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1904-03-26T00:00:00Z,Journal,Collier's Weekly
RSH08,The Six Napoleons,ACD,NA,SO,JM,https://sherlock-holm.es/stories/html/sixn.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1904-05-01T00:00:00Z,Journal,The Strand
RSH09,The Three Students,ACD,NA,SO,JM,https://sherlock-holm.es/stories/html/3stu.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1904-06-01T00:00:00Z,Journal,The Strand
RSH10,The Golden Pince-Nez,ACD,NA,SO,JM,https://sherlock-holm.es/stories/html/gold.html,2021-05-14T00:00:00Z,2021-05-17T00:00:00Z,1904-07-01T00:00:00Z,Journal,The Strand
RSH11,The Missing Three-Quarter,ACD,NA,ZC,SK,https://sherlock-holm.es/stories/html/miss.html,2021-05-18T00:00:00Z,2021-05-20T00:00:00Z,1904-08-01T00:00:00Z,Journal,The Strand
RSH12,The Abbey Grange,ACD,NA,ZC,SK,https://sherlock-holm.es/stories/html/abbe.html,2021-05-18T00:00:00Z,2021-05-20T00:00:00Z,1904-09-01T00:00:00Z,Journal,The Strand
RSH13,The Second Stain,ACD,NA,ZC,SK,https://sherlock-holm.es/stories/html/seco.html,2021-05-18T00:00:00Z,2021-05-20T00:00:00Z,1904-12-01T00:00:00Z,Journal,The Strand
HLB01,Wisteria Lodge,ACD,NA,SO,JM,https://sherlock-holm.es/stories/html/wist.html,2021-05-18T00:00:00Z,2021-05-19T00:00:00Z,1908-08-15T00:00:00Z,Journal,Collier's Magazine
HLB02,The Cardboard Box,ACD,NA,SO,JM,https://sherlock-holm.es/stories/html/card.html,2021-05-18T00:00:00Z,2021-05-19T00:00:00Z,1893-01-01T00:00:00Z,Journal,The Strand
HLB03,The Red Circle,ACD,NA,SO,JM,https://sherlock-holm.es/stories/html/redc.html,2021-05-18T00:00:00Z,2021-05-19T00:00:00Z,1911-04-01T00:00:00Z,Journal,The Strand
HLB04,The Bruce-Partington Plans,ACD,NA,CC,WW,https://sherlock-holm.es/stories/html/bruc.html,2021-05-18T00:00:00Z,2021-05-19T00:00:00Z,1908-12-01T00:00:00Z,Journal,The Strand
HLB05,The Dying Detective,ACD,NA,CC,WW,https://sherlock-holm.es/stories/html/dyin.html,2021-05-18T00:00:00Z,2021-05-19T00:00:00Z,1913-12-01T00:00:00Z,Journal,The Strand
HLB06,Lady Frances Carfax,ACD,NA,CC,WW,https://sherlock-holm.es/stories/html/lady.html,2021-05-18T00:00:00Z,2021-05-19T00:00:00Z,1911-12-01T00:00:00Z,Journal,The Strand
HLB07,The Devil's Foot,ACD,NA,ZC,SO,https://sherlock-holm.es/stories/html/devi.html,2021-05-20T00:00:00Z,2021-05-24T00:00:00Z,1910-12-01T00:00:00Z,Journal,The Strand
HLB08,His Last Bow,ACD,NA,ZC,SO,https://sherlock-holm.es/stories/html/last.html,2021-05-20T00:00:00Z,2021-05-24T00:00:00Z,1917-09-01T00:00:00Z,Journal,The Strand
CBSH01,The Illustrious Client,ACD,NA,ZC,SO,https://sherlock-holm.es/stories/html/illu.html,2021-05-20T00:00:00Z,2021-05-24T00:00:00Z,1924-11-08T00:00:00Z,Journal,Collier's Weekly Magazine
CBSH02,The Blanched Soldier,ACD,NA,CC,JM,https://sherlock-holm.es/stories/html/blan.html,2021-05-20T00:00:00Z,2021-05-25T00:00:00Z,1926-11-01T00:00:00Z,Journal,The Strand
CBSH03,The Mazarin Stone,ACD,NA,CC,JM,https://sherlock-holm.es/stories/html/maza.html,2021-05-20T00:00:00Z,2021-05-25T00:00:00Z,1921-10-01T00:00:00Z,Journal,The Strand
CBSH04,The Three Gables,ACD,NA,CC,JM,https://sherlock-holm.es/stories/html/3gab.html,2021-05-20T00:00:00Z,2021-05-25T00:00:00Z,1920-10-01T00:00:00Z,Journal,The Strand
CBSH05,The Sussex Vampire,ACD,NA,WW,SK,https://sherlock-holm.es/stories/html/suss.html,2021-05-20T00:00:00Z,2021-05-24T00:00:00Z,1924-01-01T00:00:00Z,Journal,The Strand
CBSH06,The Three Garridebs,ACD,NA,WW,SK,https://sherlock-holm.es/stories/html/3gar.html,2021-05-20T00:00:00Z,2021-05-24T00:00:00Z,1924-10-25T00:00:00Z,Journal,Collier's Weekly Magazine
